Sample Number,Well Location,plate,Sample Name,BOX,ROW,COLUMN,Concentration ng/ul
538,B08,6,2108,6,4,H,4.75
539,C08,6,2039,6,4,I,7.1
540,D08,6,1828,6,4,J,6.98
541,E08,6,43,6,5,A,7.19
542,F08,6,2285,6,5,B,3.63
543,G08,6,1138,6,5,C,6.55
544,H08,6,344,6,5,D,9.95
545,A09,6,1154,6,5,E,7.43
546,B09,6,154,6,5,F,6.32
547,C09,6,125,6,5,G,6.89
548,D09,6,1289,6,5,H,7.05
549,E09,6,567,6,5,I,8.49
550,F09,6,2397,6,5,J,8.95
551,G09,6,1076,6,6,A,2.87
552,H09,6,1604,6,6,B,8.43
553,A10,6,10,6,6,C,5.86
554,B10,6,63,6,6,D,4.26
555,C10,6,1462,6,6,E,6.35
556,D10,6,1735,6,6,F,4.68
557,E10,6,762,6,6,G,5.64
558,F10,6,856,6,6,H,2.45
559,G10,6,1675,6,6,I,6.36
560,H10,6,397,6,6,J,5.93
561,A11,6,210,6,7,A,8.93
562,B11,6,640,6,7,B,5.93
563,C11,6,328,6,7,C,6.91
564,D11,6,1824,6,7,D,5.51
565,E11,6,656,6,7,E,5.73
566,F11,6,302,6,7,F,11.19
567,G11,6,1308,6,7,G,4.37
568,H11,6,1946,6,7,H,6.56
569,A12,6,1552,6,7,I,5.45
570,B12,6,1871,6,7,J,10.54
571,C12,6,2075,6,8,A,5.58
572,D12,6,141,6,8,B,6.26
573,E12,6,2277,6,8,C,4.14
574,F12,6,159,6,8,D,3.83
575,G12,6,2098,6,8,E,6.42
576,H12,6,274,6,8,F,4.78
577,A01,7,1296,6,8,G,3.79
578,B01,7,1120,6,8,H,6.13
579,C01,7,2360,6,8,I,6.3
580,D01,7,1879,6,8,J,5.72
581,E01,7,2385,6,9,A,5.66
582,F01,7,790,6,9,B,8.12
583,G01,7,99,6,9,C,6.47
584,H01,7,1600,6,9,D,3.25
585,A02,7,1846,6,9,E,4.86
586,B02,7,1009,6,9,F,1.23
587,C02,7,1025,6,9,G,10.41
588,D02,7,1290,6,9,H,6.67
589,E02,7,1614,6,9,I,3.74
590,F02,7,61,6,9,J,8.59
591,G02,7,149,6,10,A,4.35
592,H02,7,1999,6,10,B,3.9
593,A03,7,1164,6,10,C,1.68
594,B03,7,1605,6,10,D,1.25
595,C03,7,2391,6,10,E,0.77
596,D03,7,2324,6,10,F,0.95
597,E03,7,1981,6,10,G,8.47
598,F03,7,1255,6,10,H,7.19
599,G03,7,599,6,10,I,1.03
600,H03,7,1784,6,10,J,4.78
601,A04,7,518,7,1,A,1.75
602,B04,7,544,7,1,B,9.64
